Round	Pick	Team	Player	Position	NFL Team	Conference	Year
7	80	50,000 Watts of Funkin	T.Y. Hilton	WR	IND	North	2020
7	81	Schmidts & Giggles	Tyler Higbee	TE	LAR	North	2020
7	82	The Motor City	Golden Tate	WR	NYG	North	2020
7	83	Kitties	D'Andre Swift	RB	DET	North	2020
7	84	Moose Men	Drew Brees	QB	NOS	North	2020
8	85	Baby Fumblers	Darius Slayton	WR	NYG	North	2020
8	86	Cosmo's Crew	Zack Moss	RB	BUF	North	2020
8	87	Renegades	Rob Gronkowski	TE	TBB	North	2020
8	88	Raptors	Will Fuller	WR	HOU	North	2020
8	89	My Balls are Perfect	Hunter Henry	TE	LAC	North	2020
8	90	Rusty Hammer	CeeDee Lamb	WR	DAL	North	2020
8	91	Team Jackson	Diontae Johnson	WR	PIT	North	2020
8	92	Team Jackson	Kerryon Johnson	RB	DET	North	2020
8	93	Rusty Hammer	Sterling Shepard	WR	NYG	North	2020
8	94	My Balls are Perfect	Curtis Samuel	WR	CAR	North	2020
8	95	Raptors	Evan Engram	TE	NYG	North	2020
8	96	Renegades	Jerry Jeudy	WR	DEN	North	2020
9	97	Cosmo's Crew	Christian Kirk	WR	ARI	North	2020
9	98	Baby Fumblers	Marlon Mack	RB	IND	North	2020
9	99	Moose Men	Marvin Jones	WR	DET	North	2020
9	100	Kitties	Emmanuel Sanders	WR	NOS	North	2020
9	101	The Motor City	Justin Jefferson	WR	MIN	North	2020
9	102	Schmidts & Giggles	Matt Ryan	QB	ATL	North	2020
9	103	50,000 Watts of Funkin	Phillip Lindsay	RB	DEN	North	2020
9	104	Rory's Fury	Latavius Murray	RB	NOS	North	2020
9	105	Rory's Fury	Carson Wentz	QB	PHI	North	2020
9	106	50,000 Watts of Funkin	David Montgomery	RB	CHI	North	2020
9	107	Schmidts & Giggles	Ronald Jones	RB	TBB	North	2020
9	108	The Motor City	Noah Fant	TE	DEN	North	2020
10	109	Kitties	Chris Thompson	RB	JAC	North	2020
10	110	Moose Men	Josh Allen	QB	BUF	North	2020
10	111	Baby Fumblers	Breshad Perriman	WR	NYJ	North	2020
10	112	Cosmo's Crew	Matt Breida	RB	MIA	North	2020
10	113	Renegades	Jamison Crowder	WR	NYJ	North	2020
10	114	Raptors	Deebo Samuel	WR	SFO	North	2020
10	115	My Balls are Perfect	Chase Edmonds	RB	ARI	North	2020
10	116	Rusty Hammer	Nyheim Hines	RB	IND	North	2020
10	117	Team Jackson	Austin Hooper	TE	CLE	North	2020
10	118	Team Jackson	Sony Michel	RB	NEP	North	2020
10	119	Rusty Hammer	Henry Ruggs	WR	LVR	North	2020
10	120	My Balls are Perfect	Mike Gesicki	TE	MIA	North	2020
11	121	Raptors	Boston Scott	RB	PHI	North	2020
11	122	Renegades	San Francisco 49ers	Def	SFO	North	2020
11	123	Cosmo's Crew	Cam Newton	QB	NEP	North	2020
11	124	Baby Fumblers	Jaylen Samuels	RB	PIT	North	2020
11	125	Moose Men	Anthony Miller	WR	CHI	North	2020
11	126	Kitties	Pittsburgh Steelers	Def	PIT	North	2020
11	127	The Motor City	Blake Jarwin	TE	DAL	North	2020
11	128	Schmidts & Giggles	Alexander Mattison	RB	MIN	North	2020
11	129	50,000 Watts of Funkin	Tom Brady	QB	TBB	North	2020
11	130	Rory's Fury	Baltimore Ravens	Def	BAL	North	2020
11	131	Rory's Fury	Darrell Henderson	RB	LAR	North	2020
11	132	50,000 Watts of Funkin	Allen Lazard	WR	GBP	North	2020
12	133	Schmidts & Giggles	Baker Mayfield	QB	CLE	North	2020
12	134	The Motor City	Buffalo Bills	Def	BUF	North	2020
12	135	Kitties	Robby Anderson	WR	CAR	North	2020
12	136	Moose Men	Jonnu Smith	TE	TEN	North	2020
12	137	Baby Fumblers	New Orleans Saints	Def	NOS	North	2020
12	138	Cosmo's Crew	T.J. Hockenson	TE	DET	North	2020
12	139	Renegades	DeSean Jackson	WR	PHI	North	2020
12	140	Raptors	Greg Olsen	TE	FA	North	2020
12	141	My Balls are Perfect	John Brown	WR	BUF	North	2020
12	142	Rusty Hammer	Kyle Rudolph	TE	MIN	North	2020
12	143	Team Jackson	Jimmy Garoppolo	QB	SFO	North	2020
12	144	Team Jackson	Ryquell Armstead	RB	JAC	North	2020
13	145	Rusty Hammer	Parris Campbell	WR	IND	North	2020
13	146	My Balls are Perfect	N'Keal Harry	WR	NEP	North	2020
13	147	Raptors	Kansas City Chiefs	Def	KCC	North	2020
13	148	Renegades	Jared Goff	QB	DET	North	2020
13	149	Cosmo's Crew	Duke Johnson	RB	HOU	North	2020
13	150	Baby Fumblers	Tevin Coleman	RB	SFO	North	2020
13	151	Moose Men	Mecole Hardman	WR	KCC	North	2020
13	152	Kitties	Carlos Hyde	RB	SEA	North	2020
13	153	The Motor City	Brandon Aiyuk	WR	SFO	North	2020
13	154	Schmidts & Giggles	Justin Jackson	RB	LAC	North	2020
13	155	50,000 Watts of Funkin	Mike Williams	WR	LAC	North	2020
13	156	Rory's Fury	Bryce Love	RB	WAS	North	2020
14	157	Rory's Fury	Corey Davis	WR	TEN	North	2020
14	158	50,000 Watts of Funkin	Preston Williams	WR	MIA	North	2020
14	159	Schmidts & Giggles	Cole Beasley	WR	BUF	North	2020
14	160	The Motor City	Indianapolis Colts	Def	IND	North	2020
14	161	Kitties	Michael Pittman	WR	IND	North	2020
14	162	Moose Men	Joe Burrow	QB	CIN	North	2020
14	163	Baby Fumblers	Joshua Kelley	RB	LAC	North	2020
14	164	Cosmo's Crew	Chicago Bears	Def	CHI	North	2020
14	165	Renegades	Tony Pollard	RB	DAL	North	2020
14	166	Raptors	Justin Tucker	PK	BAL	North	2020
14	167	My Balls are Perfect	Sammy Watkins	WR	KCC	North	2020
14	168	Rusty Hammer	Daniel Jones	QB	NYG	North	2020
15	169	Team Jackson	Dede Westbrook	WR	JAC	North	2020
15	170	Team Jackson	Harrison Butker	PK	KCC	North	2020
15	171	Rusty Hammer	Josh Reynolds	WR	LAR	North	2020
15	172	My Balls are Perfect	Darrel Williams	RB	KCC	North	2020
15	173	Raptors	O.J. Howard	TE	TBB	North	2020
15	174	Renegades	Matthew Stafford	QB	LAR	North	2020
15	175	Cosmo's Crew	Los Angeles Rams	Def	LAR	North	2020
15	176	Baby Fumblers	Wil Lutz	PK	NOS	North	2020
15	177	Moose Men	Robbie Gould	PK	SFO	North	2020
15	178	Kitties	Ka'imi Fairbairn	PK	HOU	North	2020
15	179	The Motor City	Larry Fitzgerald	WR	ARI	North	2020
15	180	Schmidts & Giggles	New England Patriots	Def	NEP	North	2020
16	181	50,000 Watts of Funkin	Chris Herndon	TE	NYJ	North	2020
16	182	Rory's Fury	Greg Zuerlein	PK	DAL	North	2020
16	183	Rory's Fury	Jack Doyle	TE	IND	North	2020
16	184	50,000 Watts of Funkin	Minnesota Vikings	Def	MIN	North	2020
16	185	Schmidts & Giggles	Dallas Goedert	TE	PHI	North	2020
16	186	The Motor City	AJ Dillon	RB	GBP	North	2020
16	187	Kitties	Zane Gonzalez	PK	ARI	North	2020
16	188	Moose Men	Matt Prater	PK	DET	North	2020
16	189	Baby Fumblers	Tampa Bay Buccaneers	Def	TBB	North	2020
16	190	Cosmo's Crew	Jamaal Williams	RB	GBP	North	2020
16	191	Renegades	Cole Kmet	TE	CHI	North	2020
16	192	Raptors	Green Bay Packers	Def	GBP	North	2020
17	193	My Balls are Perfect	Dan Bailey	PK	MIN	North	2020
17	194	Rusty Hammer	Jalen Reagor	WR	PHI	North	2020
17	195	Team Jackson	Tennessee Titans	Def	TEN	North	2020
17	196	Team Jackson	Younghoe Koo	PK	ATL	North	2020
17	197	Rusty Hammer	Hunter Renfrow	WR	LVR	North	2020
17	198	My Balls are Perfect	Damien Harris	RB	NEP	North	2020
17	199	Raptors	Jason Myers	PK	SEA	North	2020
17	200	Renegades	Ben Roethlisberger	QB	PIT	North	2020
17	201	Cosmo's Crew	Jake Elliott	PK	PHI	North	2020
17	202	Baby Fumblers	Randall Cobb	WR	HOU	North	2020
17	203	Moose Men	Alshon Jeffery	WR	PHI	North	2020
17	204	Kitties	Josh Lambo	PK	JAC	North	2020
1	1	M-Dogg	Saquon Barkley	RB	NYG	South 	2020
1	2	Playoff Donkeys	Christian McCaffrey	RB	CAR	South 	2020
1	3	Maryland Madness	Ezekiel Elliott	RB	DAL	South 	2020
1	4	Hail to the Chef	Michael Thomas	WR	NOS	South 	2020
1	5	Offensive Lyonmen	Dalvin Cook	RB	MIN	South 	2020
1	6	Gridiron Guru	Alvin Kamara	RB	NOS	South 	2020
1	7	AFCCP	Clyde Edwards-Helaire	RB	KCC	South 	2020
1	8	Banana's Bunch	Derrick Henry	RB	TEN	South 	2020
1	9	Steers and Beers	Davante Adams	WR	GBP	South 	2020
1	10	Water Rats	Lamar Jackson	QB	BAL	South 	2020
1	11	Buck Wild Roosters	Joe Mixon	RB	CIN	South 	2020
1	12	Poner	Julio Jones	WR	ATL	South 	2020
2	13	Poner	Mike Evans	WR	TBB	South 	2020
2	14	Buck Wild Roosters	DeAndre Hopkins	WR	ARI	South 	2020
2	15	Water Rats	Chris Godwin	WR	TBB	South 	2020
2	16	Steers and Beers	Travis Kelce	TE	KCC	South 	2020
2	17	Banana's Bunch	Nick Chubb	RB	CLE	South 	2020
2	18	AFCCP	Josh Jacobs	RB	LVR	South 	2020
2	19	Gridiron Guru	Patrick Mahomes	QB	KCC	South 	2020
2	20	Offensive Lyonmen	Tyreek Hill	WR	KCC	South 	2020
2	21	Hail to the Chef	Kenyan Drake	RB	ARI	South 	2020
2	22	Maryland Madness	Miles Sanders	RB	PHI	South 	2020
2	23	Playoff Donkeys	Aaron Jones	RB	GBP	South 	2020
2	24	M-Dogg	Austin Ekeler	RB	LAC	South 	2020
3	25	M-Dogg	Chris Carson	RB	SEA	South 	2020
3	26	Playoff Donkeys	George Kittle	TE	SFO	South 	2020
3	27	Maryland Madness	Allen Robinson	WR	CHI	South 	2020
3	28	Hail to the Chef	Todd Gurley	RB	ATL	South 	2020
3	29	Offensive Lyonmen	Kenny Golladay	WR	DET	South 	2020
3	30	Gridiron Guru	Odell Beckham	WR	CLE	South 	2020
3	31	AFCCP	Mark Ingram	RB	FA	South 	2020
3	32	Banana's Bunch	Amari Cooper	WR	DAL	South 	2020
3	33	Steers and Beers	Dak Prescott	QB	DAL	South 	2020
3	34	Water Rats	Adam Thielen	WR	MIN	South 	2020
3	35	Buck Wild Roosters	David Johnson	RB	HOU	South 	2020
3	36	Poner	D.J. Moore	WR	CAR	South 	2020
4	37	Poner	Mark Andrews	TE	BAL	South 	2020
4	38	Buck Wild Roosters	D.J. Chark	WR	JAC	South 	2020
4	39	Water Rats	Melvin Gordon	RB	DEN	South 	2020
4	40	Steers and Beers	Le'Veon Bell	RB	KCC	South 	2020
4	41	Banana's Bunch	Calvin Ridley	WR	ATL	South 	2020
4	42	AFCCP	James Conner	RB	PIT	South 	2020
4	43	Gridiron Guru	Robert Woods	WR	LAR	South 	2020
4	44	Offensive Lyonmen	Cooper Kupp	WR	LAR	South 	2020
4	45	Hail to the Chef	Zach Ertz	TE	PHI	South 	2020
4	46	Maryland Madness	Keenan Allen	WR	LAC	South 	2020
4	47	Playoff Donkeys	A.J. Brown	WR	TEN	South 	2020
4	48	M-Dogg	JuJu Smith-Schuster	WR	PIT	South 	2020
5	49	M-Dogg	Tyler Lockett	WR	SEA	South 	2020
5	50	Playoff Donkeys	Terry McLaurin	WR	WAS	South 	2020
5	51	Maryland Madness	DK Metcalf	WR	SEA	South 	2020
5	52	Hail to the Chef	Courtland Sutton	WR	DEN	South 	2020
5	53	Offensive Lyonmen	T.Y. Hilton	WR	IND	South 	2020
5	54	Gridiron Guru	Darren Waller	TE	LVR	South 	2020
5	55	AFCCP	Stefon Diggs	WR	BUF	South 	2020
5	56	Banana's Bunch	Leonard Fournette	RB	TBB	South 	2020
5	57	Steers and Beers	A.J. Green	WR	CIN	South 	2020
5	58	Water Rats	Jonathan Taylor	RB	IND	South 	2020
5	59	Buck Wild Roosters	Raheem Mostert	RB	SFO	South 	2020
5	60	Poner	Russell Wilson	QB	SEA	South 	2020
6	61	Poner	Michael Gallup	WR	DAL	South 	2020
6	62	Buck Wild Roosters	Jordan Howard	RB	PHI	South 	2020
6	63	Water Rats	Antonio Gibson	RB	WAS	South 	2020
6	64	Steers and Beers	Deshaun Watson	QB	HOU	South 	2020
6	65	Banana's Bunch	James White	RB	NEP	South 	2020
6	66	AFCCP	Marquise Brown	WR	BAL	South 	2020
6	67	Gridiron Guru	Kareem Hunt	RB	CLE	South 	2020
6	68	Offensive Lyonmen	Devin Singletary	RB	BUF	South 	2020
6	69	Hail to the Chef	Jarvis Landry	WR	CLE	South 	2020
6	70	Maryland Madness	DeVante Parker	WR	MIA	South 	2020
6	71	Playoff Donkeys	Tyler Boyd	WR	CIN	South 	2020
6	72	M-Dogg	Cam Akers	RB	LAR	South 	2020
7	73	M-Dogg	Kerryon Johnson	RB	DET	South 	2020
7	74	Playoff Donkeys	D'Andre Swift	RB	DET	South 	2020
7	75	Maryland Madness	Julian Edelman	WR	NEP	South 	2020
7	76	Hail to the Chef	Tarik Cohen	RB	CHI	South 	2020
7	77	Offensive Lyonmen	Kyler Murray	QB	ARI	South 	2020
7	78	Gridiron Guru	Brandin Cooks	WR	HOU	South 	2020
7	79	AFCCP	Marvin Jones	WR	DET	South 	2020
7	80	Banana's Bunch	J.K. Dobbins	RB	BAL	South 	2020
7	81	Steers and Beers	Golden Tate	WR	NYG	South 	2020
7	82	Water Rats	Rob Gronkowski	TE	TBB	South 	2020
7	83	Buck Wild Roosters	Sterling Shepard	WR	NYG	South 	2020
7	84	Poner	Evan Engram	TE	NYG	South 	2020
8	85	Poner	Ronald Jones	RB	TBB	South 	2020
8	86	Buck Wild Roosters	Phillip Lindsay	RB	DEN	South 	2020
8	87	Water Rats	Hunter Henry	TE	LAC	South 	2020
8	88	Steers and Beers	Deebo Samuel	WR	SFO	South 	2020
8	89	Banana's Bunch	Will Fuller	WR	HOU	South 	2020
8	90	AFCCP	Jamison Crowder	WR	NYJ	South 	2020
8	91	Gridiron Guru	Diontae Johnson	WR	PIT	South 	2020
8	92	Offensive Lyonmen	CeeDee Lamb	WR	DAL	South 	2020
8	93	Hail to the Chef	Bryce Love	RB	WAS	South 	2020
8	94	Maryland Madness	Sony Michel	RB	NEP	South 	2020
8	95	Playoff Donkeys	Jared Cook	TE	NOS	South 	2020
8	96	M-Dogg	David Montgomery	RB	CHI	South 	2020
9	97	M-Dogg	Tom Brady	QB	TBB	South 	2020
9	98	Playoff Donkeys	Darius Slayton	WR	NYG	South 	2020
9	99	Maryland Madness	Drew Brees	QB	NOS	South 	2020
9	100	Hail to the Chef	Zack Moss	RB	BUF	South 	2020
9	101	Offensive Lyonmen	Christian Kirk	WR	ARI	South 	2020
9	102	Gridiron Guru	Chris Thompson	RB	JAC	South 	2020
9	103	AFCCP	Tyler Higbee	TE	LAR	South 	2020
9	104	Banana's Bunch	Jerry Jeudy	WR	DEN	South 	2020
9	105	Steers and Beers	Marlon Mack	RB	IND	South 	2020
9	106	Water Rats	Cam Newton	QB	NEP	South 	2020
9	107	Buck Wild Roosters	Emmanuel Sanders	WR	NOS	South 	2020
9	108	Poner	Matt Breida	RB	MIA	South 	2020
10	109	Poner	DeSean Jackson	WR	PHI	South 	2020
10	110	Buck Wild Roosters	Duke Johnson	RB	HOU	South 	2020
10	111	Water Rats	Preston Williams	WR	MIA	South 	2020
10	112	Steers and Beers	Latavius Murray	RB	NOS	South 	2020
10	113	Banana's Bunch	John Brown	WR	BUF	South 	2020
10	114	AFCCP	Henry Ruggs	WR	LVR	South 	2020
10	115	Gridiron Guru	Josh Allen	QB	BUF	South 	2020
10	116	Offensive Lyonmen	Hayden Hurst	TE	ATL	South 	2020
10	117	Hail to the Chef	Justin Jefferson	WR	MIN	South 	2020
10	118	Maryland Madness	Austin Hooper	TE	CLE	South 	2020
10	119	Playoff Donkeys	Aaron Rodgers	QB	GBP	South 	2020
10	120	M-Dogg	Anthony Miller	WR	CHI	South 	2020
11	121	M-Dogg	Darrell Henderson	RB	LAR	South 	2020
11	122	Playoff Donkeys	Matt Ryan	QB	ATL	South 	2020
11	123	Maryland Madness	T.J. Hockenson	TE	DET	South 	2020
11	124	Hail to the Chef	Tevin Coleman	RB	SFO	South 	2020
11	125	Offensive Lyonmen	Damien Harris	RB	NEP	South 	2020
11	126	Gridiron Guru	Noah Fant	TE	DEN	South 	2020
11	127	AFCCP	Boston Scott	RB	PHI	South 	2020
11	128	Banana's Bunch	Matthew Stafford	QB	LAR	South 	2020
11	129	Steers and Beers	Blake Jarwin	TE	DAL	South 	2020
11	130	Water Rats	Justin Tucker	PK	BAL	South 	2020
11	131	Buck Wild Roosters	Carson Wentz	QB	PHI	South 	2020
11	132	Poner	Pittsburgh Steelers	Def	PIT	South 	2020
12	133	Poner	Mecole Hardman	WR	KCC	South 	2020
12	134	Buck Wild Roosters	Jared Goff	QB	DET	South 	2020
12	135	Water Rats	Alexander Mattison	RB	MIN	South 	2020
12	136	Steers and Beers	Baltimore Ravens	Def	BAL	South 	2020
12	137	Banana's Bunch	Jack Doyle	TE	IND	South 	2020
12	138	AFCCP	Daniel Jones	QB	NYG	South 	2020
12	139	Gridiron Guru	Allen Lazard	WR	GBP	South 	2020
12	140	Offensive Lyonmen	Mike Gesicki	TE	MIA	South 	2020
12	141	Hail to the Chef	Harrison Butker	PK	KCC	South 	2020
12	142	Maryland Madness	San Francisco 49ers	Def	SFO	South 	2020
12	143	Playoff Donkeys	Darrel Williams	RB	KCC	South 	2020
12	144	M-Dogg	Greg Olsen	TE	FA	South 	2020
13	145	M-Dogg	Tony Pollard	RB	DAL	South 	2020
13	146	Playoff Donkeys	Greg Zuerlein	PK	DAL	South 	2020
13	147	Maryland Madness	Parris Campbell	WR	IND	South 	2020
13	148	Hail to the Chef	Wil Lutz	PK	NOS	South 	2020
13	149	Offensive Lyonmen	Joe Burrow	QB	CIN	South 	2020
13	150	Gridiron Guru	Chase Edmonds	RB	ARI	South 	2020
13	151	AFCCP	Jonnu Smith	TE	TEN	South 	2020
13	152	Banana's Bunch	Justin Jackson	RB	LAC	South 	2020
13	153	Steers and Beers	Nyheim Hines	RB	IND	South 	2020
13	154	Water Rats	Adrian Peterson	RB	DET	South 	2020
13	155	Buck Wild Roosters	C.J. Uzomah	TE	CIN	South 	2020
13	156	Poner	Ben Roethlisberger	QB	PIT	South 	2020
14	157	Poner	Kirk Cousins	QB	MIN	South 	2020
14	158	Buck Wild Roosters	Buffalo Bills	Def	BUF	South 	2020
14	159	Water Rats	Chicago Bears	Def	CHI	South 	2020
14	160	Steers and Beers	Ryan Tannehill	QB	TEN	South 	2020
14	161	Banana's Bunch	Dallas Goedert	TE	PHI	South 	2020
14	162	AFCCP	Baker Mayfield	QB	CLE	South 	2020
14	163	Gridiron Guru	N'Keal Harry	WR	NEP	South 	2020
14	164	Offensive Lyonmen	Los Angeles Rams	Def	LAR	South 	2020
14	165	Hail to the Chef	Curtis Samuel	WR	CAR	South 	2020
14	166	Maryland Madness	Robby Anderson	WR	CAR	South 	2020
14	167	Playoff Donkeys	Kyle Rudolph	TE	MIN	South 	2020
14	168	M-Dogg	Robbie Gould	PK	SFO	South 	2020
15	169	M-Dogg	New England Patriots	Def	NEP	South 	2020
15	170	Playoff Donkeys	Eric Ebron	TE	PIT	South 	2020
15	171	Maryland Madness	Jimmy Garoppolo	QB	SFO	South 	2020
15	172	Hail to the Chef	Chris Herndon	TE	NYJ	South 	2020
15	173	Offensive Lyonmen	New Orleans Saints	Def	NOS	South 	2020
15	174	Gridiron Guru	Michael Pittman	WR	IND	South 	2020
15	175	AFCCP	Philadelphia Eagles	Def	PHI	South 	2020
15	176	Banana's Bunch	Jalen Reagor	WR	PHI	South 	2020
15	177	Steers and Beers	Tampa Bay Buccaneers	Def	TBB	South 	2020
15	178	Water Rats	Kansas City Chiefs	Def	KCC	South 	2020
15	179	Buck Wild Roosters	Ka'imi Fairbairn	PK	HOU	South 	2020
15	180	Poner	Malcolm Brown	RB	LAR	South 	2020
16	181	Poner	O.J. Howard	TE	TBB	South 	2020
16	182	Buck Wild Roosters	Jamaal Williams	RB	GBP	South 	2020
16	183	Water Rats	Breshad Perriman	WR	NYJ	South 	2020
16	184	Steers and Beers	Indianapolis Colts	Def	IND	South 	2020
16	185	Banana's Bunch	Brandon Aiyuk	WR	SFO	South 	2020
16	186	AFCCP	Tennessee Titans	Def	TEN	South 	2020
16	187	Gridiron Guru	Zane Gonzalez	PK	ARI	South 	2020
16	188	Offensive Lyonmen	Gardner Minshew	QB	JAC	South 	2020
16	189	Hail to the Chef	Jaylen Samuels	RB	PIT	South 	2020
16	190	Maryland Madness	Jake Elliott	PK	PHI	South 	2020
16	191	Playoff Donkeys	Washington Football Team	Def	WAS	South 	2020
16	192	M-Dogg	Sammy Watkins	WR	KCC	South 	2020
17	193	M-Dogg	Matt Prater	PK	DET	South 	2020
17	194	Playoff Donkeys	Larry Fitzgerald	WR	ARI	South 	2020
17	195	Maryland Madness	Ryan Succop	PK	TBB	South 	2020
17	196	Hail to the Chef	Ito Smith	RB	ATL	South 	2020
17	197	Offensive Lyonmen	Dan Bailey	PK	MIN	South 	2020
17	198	Gridiron Guru	Younghoe Koo	PK	ATL	South 	2020
17	199	AFCCP	Corey Davis	WR	TEN	South 	2020
17	200	Banana's Bunch	Jason Myers	PK	SEA	South 	2020
17	201	Steers and Beers	Josh Reynolds	WR	LAR	South 	2020
17	202	Water Rats	Jimmy Graham	TE	CHI	South 	2020
17	203	Buck Wild Roosters	Mike Williams	WR	LAC	South 	2020
17	204	Poner	Rex Burkhead	RB	NEP	South 	2020
